*Tbl TblFld
|--------|-------------------|-------|-----------------------|----|----------|-----|-------|-------|-----------------------------------------------|
| 310    | Topaz             | 0     | Topaz                 | *  | Long     | 4   |       | False |                                               |
| 311    | Topaz             | 1     | CdTopaz               |    | Text     | 20  |       | False |                                               |
| 312    | Topaz             | 2     | DteCrt                |    | Date     | 8   | Now() | True  |                                               |
| 313    | YpIO              | 0     | YpIO                  | *  | Byte     | 1   | 0     | True  |                                               |
| 314    | YpIO              | 1     | NmYpIO                |    | Text     | 8   |       | True  |                                               |
| 315    | YpStk             | 0     | YpStk                 | *  | Byte     | 1   | 0     | True  | Stock Type                                    |
| 316    | YpStk             | 1     | NmYpStk               |    | Text     | 50  |       | False | Stock Type Name                               |
| 317    | YpStk             | 2     | IsTaxPaid             |    | Boolean  | 1   | 0     | False |                                               |
| 318    | YrAdjD            | 0     | Yr                    | *  | Byte     | 1   |       | False |                                               |
| 319    | YrAdjD            | 1     | Sku                   | *  | Text     | 15  |       | False |                                               |
| 320    | YrAdjD            | 2     | AdjTot                |    | Currency | 8   |       | False |                                               |
| 321    | YrAdjD            | 3     | DteCrt                |    | Date     | 8   |       | False |                                               |
| 322    | YrAdjD            | 4     | DteUpd                |    | Date     | 8   |       | False |                                               |
| 323    | YrAdjDW           | 0     | Sku                   | *  | Text     | 255 |       | False |                                               |
| 324    | YrAdjDW           | 1     | OpnQty                |    | Long     | 4   |       | False |                                               |
| 325    | YrAdjDW           | 2     | OpnTot                |    | Currency | 8   |       | False |                                               |
| 326    | YrAdjDW           | 3     | OpnRate               |    | Currency | 8   |       | False |                                               |
| 327    | YrAdjDW           | 4     | ClsQty                |    | Long     | 4   |       | False |                                               |
| 328    | YrAdjDW           | 5     | ClsTot                |    | Currency | 8   |       | False |                                               |
| 329    | YrAdjDW           | 6     | ClsRate               |    | Currency | 8   |       | False |                                               |
| 330    | YrAdjDW           | 7     | AdjTot                |    | Currency | 8   |       | False |                                               |
| 331    | YrAdjDW           | 8     | AdjRate               |    | Currency | 8   |       | False |                                               |
| 332    | YrAdjDW           | 9     | NewTot                |    | Currency | 8   |       | False |                                               |
| 333    | YrAdjDW           | 10    | NewRate               |    | Currency | 8   |       | False |                                               |
| 334    | YrAdjDW           | 11    | DteCrt                |    | Date     | 8   |       | False |                                               |
| 335    | YrAdjDW           | 12    | DteUpd                |    | Date     | 8   |       | False |                                               |
| 336    | YrO               | 0     | Yr                    | *  | Byte     | 1   | 0     | False |                                               |
| 337    | YrO               | 1     | NSku                  |    | Int      | 2   | 0     | False |                                               |
| 338    | YrO               | 2     | OpnQty                |    | Long     | 4   | 0     | True  |                                               |
| 339    | YrO               | 3     | OpnTot                |    | Currency | 8   | 0     | True  |                                               |
| 340    | YrO               | 4     | AdjNSku               |    | Long     | 4   |       | False |                                               |
| 341    | YrO               | 5     | AdjTot                |    | Currency | 8   |       | False |                                               |
| 342    | YrO               | 6     | AdjDteUpd             |    | Date     | 8   |       | False |                                               |
| 343    | YrO               | 7     | DteCrt                |    | Date     | 8   | Now() | True  |                                               |
| 344    | YrO               | 8     | DteUpd                |    | Date     | 8   |       | False |                                               |
| 345    | YrOD              | 0     | Yr                    | *  | Byte     | 1   | 0     | False |                                               |
| 346    | YrOD              | 1     | Sku                   | *  | Text     | 50  |       | False |                                               |
| 347    | YrOD              | 2     | OpnQty                |    | Long     | 4   | 0     | False |                                               |
| 348    | YrOD              | 3     | OpnRate               |    | Currency | 8   | 0     | False |                                               |
| 349    | YrOD              | 4     | OpnTot                |    | Currency | 8   | 0     | False |                                               |
| 350    | #SkuBchRateErr    | 0     | Sku                   |    | Text     | 15  |       | False |                                               |
| 351    | #SkuBchRateErr    | 1     | BchNo                 |    | Text     | 10  |       | False |                                               |
|--------|-------------------|-------|-----------------------|----|----------|-----|-------|-------|-----------------------------------------------|
